source,target,classifier,strategy,run_type,budget,macro_f1,macro_f1_sd,recovery,n_seeds,rec_lo,rec_hi
clothing,music,svm,uncertainty,target_only,2000,0.8925005008636774,0.005925952436106298,0.9679080650052363,5,0.9120753504910949,1.023760879596393
clothing,music,svm,uncertainty,transfer,50,0.8341789455363486,0.009684874502106838,0.2394671091496666,5,0.14077225247932967,0.3298327905711718
clothing,music,svm,uncertainty,transfer,100,0.8415089137696464,0.012125771921730033,0.33101900683632535,5,0.21148662474247448,0.45055138893017627
clothing,music,svm,uncertainty,transfer,250,0.8630101952127717,0.01042491732469431,0.5995717557924324,5,0.4968288300307037,0.7057065707793713
clothing,music,svm,uncertainty,transfer,500,0.8789850684728615,0.008171040931868573,0.799099218356494,5,0.7141998155867191,0.8804445829418442
clothing,music,svm,uncertainty,transfer,1000,0.8914739550086134,0.0066972399036471005,0.9550864240236917,5,0.8993069960251291,1.0297030154343498
clothing,music,svm,uncertainty,transfer,2000,0.8976254293769479,0.005432321006821271,1.0319188377623363,5,0.9866717812148039,1.0920100916791888
electronics,books,logreg,random,target_only,50,0.6832006406774443,0.055042181510253765,-1.3701094824179934,5,-1.8218705627843712,-0.9066316731110448
electronics,books,logreg,random,target_only,100,0.7561913867834096,0.016353305225443142,-0.5854297423613535,5,-0.7167056382031018,-0.4600883986780482
electronics,books,logreg,random,target_only,250,0.8265025961989052,0.018808722876337308,0.17044390560934503,5,0.016204310844467804,0.32886581188325137
electronics,books,logreg,random,target_only,500,0.8600107479579144,0.012199292872995282,0.5306699508927606,5,0.41461401504720186,0.6321940345880667
electronics,books,logreg,random,target_only,1000,0.8877057657818306,0.0043099761241329965,0.8284024792791017,5,0.7913852330278246,0.8638279660709903
electronics,books,logreg,random,target_only,2000,0.9031867255330113,0.0026327735823430875,0.9948289938916298,5,0.9714800946981097,1.0155095105704446
electronics,books,logreg,random,transfer,50,0.823879978885983,0.015084674924852796,0.14224971961781746,5,0.032192216110504976,0.2606425467210055
electronics,books,logreg,random,transfer,100,0.8281908607217021,0.009530020168022256,0.18859342506996118,5,0.10836934905413638,0.26896678588229034
electronics,books,logreg,random,transfer,250,0.8443053673391319,0.01071103257443243,0.36183082211408385,5,0.2777888561365399,0.44455964410653925
electronics,books,logreg,random,transfer,500,0.8621808676329463,0.011162586161955132,0.5539996061345869,5,0.4641765114171726,0.6438227008520011
electronics,books,logreg,random,transfer,1000,0.886506674702263,0.006088177283065821,0.815511770157519,5,0.7635971339463304,0.8638470242970856
electronics,books,logreg,random,transfer,2000,0.9041452313038694,0.004820878355444494,1.0051333146342605,5,0.9610344659315416,1.043930823816342
electronics,books,logreg,self_training,target_only,50,0.5311437522800401,0.1487540898376964,-3.0047819036079075,5,-4.089390872063106,-1.5981790864213496
electronics,books,logreg,self_training,target_only,100,0.6130616209103981,0.11003998398900078,-2.1241320227374625,5,-3.0515107283892533,-1.196753317085672
electronics,books,logreg,self_training,target_only,250,0.6572070196438908,0.13072486206864686,-1.6495513142103193,5,-2.7325801739490236,-0.5665224544716148
electronics,books,logreg,self_training,target_only,500,0.8143697170279272,0.08942254606839375,0.040010597526696313,5,-0.8277118616943591,0.5627955451832791
electronics,books,logreg,self_training,target_only,1000,0.8833161399657177,0.004779788320803831,0.7812122445151932,5,0.7412041217361109,0.821287795625481
